Наименование;Цвет;Изображение;Размеры;Цена;Описание
"120227602 Куртка текстильная для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120227602/original/120227602_1.jpg;122, 104, 116, 110, 98;1820;":Куртка демисезонная PlayToday со следующими характеристиками: легкий вес материал с ветро- и водоотталкивающим покрытием  гладкая подкладка из полиэстера утеплитель 200г/м2 несъёмный капюшон, регулируемый с помощью шнурка со стопперами, со съемной опушкой 2 боковых кармана  дополнительный внутренний манжет в рубчик внешняя ветрозащитная планка на липучках внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии, защита подбородка при застегивании светоотражающие элементы для дополнительной безопасности в темное время суток внутренняя этикетка с местом для имени и номером телефона родителей Верх: 100% полиэстер; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 200 г"
120227655 Куртка текстильная для девочек -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/raskladka/120227655/original/120227655_02.jpg;98, 116, 110, 122, 104;1320;":Куртка демисезонная PlayToday со следующими характеристиками: легкий вес материал с ветро- и водоотталкивающим покрытием  гладкая подкладка из полиэстера утеплитель 150г/м2 спереди функциональные карманы эластичные манжеты на рукавах  внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии светоотражающие элементы для дополнительной безопасности в темное время суток декор: лента с камнями, оборка на спинке Верх: 100% нейлон; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 150 г/м2"
392013 Брюки текстильные джинсовые утепленные для девочек -цвет синий;;https://playtoday.ru/upload/1c/new_struct/deti/392013/original/392013_04.jpg;122, 98, 116, 110, 104;990;:Джинсы для девочки PlayToday – основа повседневного гардероба. Модель полуприлегающего силуэта с высокой посадкой. Внутри – легкий начес. Пояс на резинке с кулиской. Модель декорирована лампасами. 2 функциональных кармана. 98% хлопок, 2% эластан
"120221009 Брюки текстильные для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221009/original/120221009_1.jpg;110, 98, 104, 122, 116;998;:Брюки текстильные суперэластичные жаккардовое переплетение эластичный пояс  комфортная посадка за счет внутренней утяжки функциональные передние карманы лампасы 74% вискоза, 11% нейлон, 11% полиэстер, 4% эластан
120221014 Брюки трикотажные для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/deti/120221014/original/120221014_01.jpg;110, 98, 104, 122, 116;598;:Кюлоты трикотажные из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок передние функциональные карманы 95% хлопок, 5% эластан
"120221017 Брюки трикотажные для девочек (леггинсы) 2 шт. в комплекте -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221017/original/120221017_1.jpg;104, 122, 110, 116, 98;574;:Леггинсы из качественного эластичного и приятного трикотажа цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 2 изделия в комплекте 95% хлопок, 5% эластан
120221018 Брюки трикотажные для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/deti/120221018/original/120221018_1.jpg;104, 98, 110, 116, 122;660;:Брюки трикотажные суперэлкастиные за счет состава ткани лампасы из пайеток 68% вискоза, 28% полиамид, 4% эластан
120226001 Брюки текстильные джинсовые для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120226001/original/120226001_1.jpg;122, 116, 104, 98, 110;1024;":Джинсы «варенка» из качественного эластичного денима благодаря высокой посадке брюки не ""сползают"" при движении комфортная посадка за счет внутренней утяжки эластичный пояс с кулиской функциональные карманы 70% хлопок, 28% полиэстер, 2% эластан"
"120221010 Юбка текстильная для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221010/original/120221010_1.jpg;110, 122, 98, 116, 104;915;:Трикотажная юбка на лямках комфортная посадка за счет внутренней утяжки юбка спереди застегивается на пуговицы лямки застегиваются на пуговицы, 2 длины 74% вискоза, 11% нейлон, 11% полиэстер, 4% эластан
"120221023 Юбка трикотажная для девочек -цвет черный;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120221023/original/120221023_1.jpg;104, 98, 110, 116, 122;540;:Юбка верх из сетки пояс - широкая резинка 95% хлопок, 5% эластан
"120221011 Толстовка трикотажная для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221011/original/120221011_1.jpg;110, 104, 122, 116, 98;840;:Толстовка на молнии, внутри мягкий начес манжеты и нижняя кромка в эластичный рубчик капюшон с кулиской защита подбородка при застегивании молнии 95% хлопок, 5% эластан
120221012 Толстовка трикотажная для девочек -цвет светло-серый;;https://playtoday.ru/upload/1c/new_struct/deti/120221012/original/120221012_1.jpg;122, 110, 98, 116, 104;840;:Толстовка из качественного футера на молнии мягкая фактура плетения на изнаночной стороне карманы-обманки воланы по рукавам декор: бант люрекс в составе ткани 60% хлопок, 20% полиэстер, 15% люрекс, 5% эластан
"120221015 Толстовка трикотажная для девочек -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120221015/original/120221015_1.jpg;98, 110, 122, 116, 104;700;:Свитшот из качественного футера  мягкая фактура плетения на изнаночной стороне принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок манжеты и нижняя кромка в эластичный рубчик 95% хлопок, 5% эластан
"120221013 Платье трикотажное для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221013/original/120221013_01.jpg;110, 98, 122, 104, 116;905;:Платье трикотажное рукав 3/4 высокое содержание хлопка  декор с реверсивными двусторонними пайетками застежка - потайная молния Платье: верх: 60% полиэстер, 35% вискоза, 5% эластан, подкладка: 100% хлопок
